col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
167256,IR 발표 및 피드백 프로그램「제로투원파트너스 오피스아워」1월 참가 모집,행사ㆍ네트워크,전국,전체,전체,2023-12-29 ~ 2024-01-17 17:00,전체,㈜제로투원파트너스,민간,제로투원파트너스,,(주)제로투원파트너스는 스타트업의 IR 기회 제공 및 성장을 지원하고자 IR 발표 및 피드백 프로그램 「제로투원파트너스 오피스아워」 참가자를 모집하오니 유망한 아이디어를 보유한 예비창업자 및 초기창업기업의 많은 참여 바랍니다.,2023년 12월 29일,(주)제로투원파트너스,2023.12.29(금) 00:00 ~ 2024.01.17(수) 17:00 까지,,,,https://zerotoonepartners.com/58,,"- IR 발표를 할 기회가 필요한 예비창업자 및 대표
- 전문적인 피드백으로 성장하고 싶은 대표
- IR 피칭 경험이 부족한 예비창업자 및 대표",
167235,[전남] 2024년 IP 창업Zone 1기 교육생 모집공고,창업교육,전라남도,"청소년, 대학생, 일반인, 일반기업, 1인 창조기업",전체,2024-01-02 ~ 2024-01-17 18:00,"예비창업자, 1년미만, 2년미만, 3년미만",전남테크노파크,공공기관,전남지식재산센터,(재)전남테크노파크 공고 제 2024 - 1호,"(재)전남테크노파크에서는 전남 도내 창의적 아이디어를 발굴하고 이를, 지식재산 권리화 및 사업화로 연계하여 지역 경제 활성화에 기여하기 위해 아래와 같이
「2024년 전남 IP창업Zone 1기」교육과정을 운영하오니, 많은 관심과 참여바랍니다.
",2024년 1월 2일,전남테크노파크,2024.01.02(화) 00:00 ~ 2024.01.17(수) 18:00 까지,,,,,,예비창업자 및 초기창업자,
167102,2024년도 서울창업성장센터 신규 입주기업 모집공고,사업화,전국,전체,전체,2023-11-27 ~ 2024-01-10 18:00,7년미만,한국기술벤처재단,공공기관,서울창업성장센터,,서울창업성장센터에서는 우수한 기술력을 보유한 창업기업을 선발하여 창업공간을 제공하고 스케일업을 지원하기 위하여 『2024년도 서울창업성장센터 신규 입주기업 모집』계획을 아래와 같이 공고합니다,2023년 11월 27일,서울창업성장센터,2023.11.27(월) 09:00 ~ 2024.01.10(수) 18:00 까지,,,,https://rnbd.startup-plus.kr/default.do,,창업 후 7년 미만의 스타트업,
167267,"투자 유치를 위한 VC 1:1 멘토링, d·camp officehours",멘토링ㆍ컨설팅ㆍ교육,전국,전체,전체,2024-01-03 ~ 2024-01-14 23:59,전체,재단법인 은행권청년창업재단,민간,성장팀,,d · camp officehours는 2014년부터 약 950회 이상 진행되어온 투자 전문 멘토링 프로그램으로 검증된 벤처캐피털 하우스만 참여하고 있습니다. 초기 기업에 집중 투자하는 최고의 투자사들과 1:1로 멘토링 받을 수 있는 무료 프로그램이오니 많은 관심 부탁드리겠습니다.,2024년 1월 3일,재단법인 은행권청년창업재단,2024.01.03(수) 00:00 ~ 2024.01.14(일) 23:59 까지,,,,https://adsld.link/january-ks,,초기 스타트업 창업자 또는 C-level 이상 리더,
167271,2024 중소·창업기업의 동반성장을 위한 지원사업 통합 사업 설명회,행사ㆍ네트워크,경상남도,"대학생, 일반인, 일반기업, 1인 창조기업","만 20세 이상 ~ 만 39세 이하, 만 40세 이상",2024-01-05 ~ 2024-02-05 16:00,전체,알에이치테크,민간,지원팀,,"지자체 기관들의 (중소·창업)기업 대상 정부 지원사업 안내와 기관 및 기업 간 정보 교류를 위한 네트워킹을 개최합니다.
창업벤처, 자금·보증, R&;D, 수출, 소상공인 등 기관별 소개 및 지원사업 안내가 있을 예정이므로 관심있는 기업들의 많은 참여 바랍니다.",2024년 1월 5일,알에이치테크,2024.01.05(금) 09:00 ~ 2024.02.05(월) 16:00 까지,,,,https://forms.gle/4jP4MAUvaDV6Zut17,,"경남, 창원에 사업을 영위하고 있는 중소기업, 창업기업 임직원",
167264,[남부여성발전센터 여성기업창업보육센터] 신규입주기업 모집,시설ㆍ공간ㆍ보육,전국,"일반인, 일반기업, 1인 창조기업",전체,2024-01-03 ~ 2024-02-02 23:59,"예비창업자, 1년미만, 2년미만",서울특별시남부여성발전센터,공공기관,여성기업창업보육센터,,창의적인 아이디어와 전문분야의 기술을 갖춘 여성창업자와 예비창업자 지원을 위해 서울특별시남부여성발전센터에서 운영하는 여성기업창업보육센터에 입주할 기업을 다음과 같이 모집합니다.,2024년 1월 2일,서울특별시남부여성발전센터,2024.01.03(수) 00:01 ~ 2024.02.02(금) 23:59 까지,,,,,,"새로이 사업을 시작하려는 여성예비창업자 또는 사용 신청일을 기준으로 사업자등록을 한지 2년이 경과되지 아니한 여성창업자
* 사용 신청일을 기준으로 1개월 이내에 남부여성발전센터로 사업자등록증 주소지 변경 필수
  (예비창업자의 경우 2개월 이내에 사업자등록 필수) ","대리점 형태의 분점, 기술연구소 등의 부설시설, 조리가 필요한 음식관련 업종"
167274,2024년 중앙부처 및 지자체 창업지원사업 통합공고,사업화,전국,전체,전체,2024-01-04 ~ 2024-12-31 23:59,전체,창업진흥원,공공기관,창업성장총괄실,중소벤처기업부 공고 제2024-4호,"「중소기업창업 지원법」 제14조(창업정책정보의 수집 및 제공)에 따라 2024년 창업지원사업을 공고하오니, 창업기업 및 예비창업자의 적극적인 참여를 바랍니다.",2024년 1월 4일,중소벤처기업부장관,2024.01.04(목) 09:30 ~ 2024.12.31(화) 23:59 까지,,,,,각 지원사업 모집공고문 참고,각 지원사업 모집공고문 참고,
167245,"[모집] 창업패키지 선정팀 가능 / 초기 무료 업무공간, 홍보 마케팅, 개발 및 서버, 입주비용 부분지원 필요한 기업 모집공고",시설ㆍ공간ㆍ보육,전국,"대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업","만 20세 이상 ~ 만 39세 이하, 만 40세 이상",2023-12-27 ~ 2024-01-04 15:00,전체,글로벌벤처센터,민간,창업지원부,,"강남 지역의 글로벌벤처센터에서 우수한 중소기업을 모집합니다.

창업패키지 (예비창업패키지, 재도전패키지, 초기창업패키지) 선정팀도 입주가 가능합니다. 

비용 절감이 필요한 기업의 경우 기업 지원을 위해 창업 초기 기간 무상 입주를 지원하고 있습니다.

홍보가 필요한 입주 기업에게는 구글 키워드 광고 마케팅을 지원합니다.

마케팅이 필요한 기업에게 연간 2000만원 ~ 연간 1억원 내외의 검색 포털 구글 키워드 광고비를 투자 또는 비용감면 방식으로 지원해 드립니다.

우수 중소기업에게 추가적인 다양한 사업화 지원이 제공됩니다. 멘토에게 사업 전략에 대한 심층적인 자문을 받을 수 있습니다.

모집 기간중에 지원이 마감되는 경우 조기에 마감될 수 있고 중간에 공고가 마감될 수 있습니다.

구글 키워드 광고비 또는 AWS 서버 또는 MS Office 365, Adobe Creative Cloud All Apps, 구글 G Suite 를 당 센터를 통해서

이용하는 경우 해당 금액에 상당하는 금액을 입주 공간 비용에서 공제해 드립니다.",2023년 12월 27일,글로벌벤처센터,2023.12.27(수) 15:20 ~ 2024.01.04(목) 15:00 까지,,,,https://www.synapoffice.com/@e683O,,"예비창업자, 창업기업, 중소기업, 대학생 등 창업 준비중인 사람
창업패키지 (예비창업패키지, 재도전패키지, 초기창업패키지) 선정팀 우선 선정",
167268,2024 창창 방산 프리스쿨,창업교육,경상남도,"대학생, 일반인, 일반기업, 1인 창조기업","만 20세 이상 ~ 만 39세 이하, 만 40세 이상",2024-01-04 ~ 2024-01-26 16:00,"예비창업자, 1년미만",알에이치테크,민간,지원팀,,"방산(예비)창업 기업의 창업사업화 교육과 멘토링, 사업화 자금을 지원하는 방산혁신(기술)창업가 집중성장 프로그램 참여를 위한 창창(방산) 프리스쿨 참가자를 모집하오니 많은 관심과 참여 바랍니다.",2024년 1월 4일,(재)창원산업진흥원,2024.01.04(목) 09:00 ~ 2024.01.26(금) 16:00 까지,,,,https://forms.gle/26qZrEt6TnXNYV4H9,,1년 미만 기술 창업자 및 방산 분야 예비창업자,
167231,"[ 모집 ] 업무공간, 투자유치 및 마케팅 필요한 입주희망 기업 모집 창업패키지 선정팀  가능",시설ㆍ공간ㆍ보육,전국,전체,전체,2023-12-27 ~ 2024-01-05 15:00,전체,코너스톤웍스,민간,창업지원팀,,"코너스톤웍스 중소기업 지원센터 2024년에 입주할 우수 창업기업을 모집합니다. 

창업패키지(성공, 초기, 재창업) 선정팀도 신청 가능하고 예산 사용도 가능합니다!

웹사이트 및 앱 개발 노하우에 대한 자문과 도움이 필요한 기업이 입주할 경우 경험과 노하우가 있는 기술 및 디자인 전문가들의 자문과 유능한 개발기업을 소개받아 개발에 도움을 받을 수 있습니다.

투자를 받을 준비된 기업은 심사후 선별하여 1000~2000만원 내외의 투자 검토를 진행합니다.

원천 기술이나 탁월한 특허출원 받을 수 있는 아이디어를 보유하여 투자유치를 받을 수 있는 우수한 기술 기업이나 강남역에서 활동을 희망하는 미디어 크리에이터(유튜버) 등 컨텐츠 창업자도 가능합니다.

전문가 멘토링과 비즈니스 모델 자문 사업 방향 비즈니스 모델에 대하여 기술개발, 디자인, 마케팅, 경영 전문가들의 멘토링을 받을 수 있습니다!

구글 키워드 광고, MS Office 365, Google Workspace, MS Azure Cloud, Adobe 상품을 센터를 통해 이용시 이용금액에 비례하여 센터 이용료 감면해 드립니다.

심사 후 우수 창업기업으로 선정되면 평가에 따라 창업팀 심사를 통해 소정의 무상 입주 기간이 지원됩니다. 


",2023년 12월 27일,코너스톤웍스,2023.12.27(수) 09:20 ~ 2024.01.05(금) 15:00 까지,,,,https://www.synapoffice.com/@9983R,,창의성과 전문성을 갖춘 1인~8인의 중소기업 또는 예비창업자,
167191,2024년 삼육대학교 창업보육센터 입주기업 모집 공고,시설ㆍ공간ㆍ보육,서울특별시,"대학생, 일반인, 대학, 연구기관, 일반기업, 1인 창조기업","만 20세 이상 ~ 만 39세 이하, 만 40세 이상",2024-01-03 ~ 2024-01-11 23:59,전체,삼육대학교산학협력단,교육기관,창업보육센터,,"삼육대학교 창업보육센터에서 2023년도 신규 입주 기업 모집을 실시하오니 많은 관심과 지원 부탁드립니다.

",2024년 1월 3일,삼육대학교 창업보육센터,2024.01.03(수) 00:00 ~ 2024.01.11(목) 23:59 까지,,,,,,"가. 예비창업자 또는 창업 7년 이내 기업
나. 입주 후 주사업장을 우리대학교의 창업보육센터로 이전(주소이전)","- 사법기관으로부터 기소 중지 중이거나 금융기관으로부터 불량 거래자로 규제중인 자
- 폐수, 소음, 진동 등 공해 다발 업종
- 동일 업태, 업종의 창업 3년 이상의 기존 사업자를 보유하고 있는 자
- 연구소⦁지사로써 창업보육센터에 위치하려는 기업
- 일반 소상공업종"
167244,[ 모집 ] 칭업지원센터 업무공간 및 마케팅이 필요한 기업 모집 공고,시설ㆍ공간ㆍ보육,전국,전체,전체,2023-12-28 ~ 2024-01-05 15:00,전체,더이노베이터,민간,창업지원부,,"InnoWork 중소기업 지원센터에서 우수한 창업 기업을 모집하고 있습니다.

예배창업패키지, 초기창업패키지, 재도전창업 패키지 선정기업도 신청이 가능합니다.

최근 투자유치 자금 시장이 많이 어려운 관계로 창업기업의 어려움에 동참하고자 업무공간 비용을 일정기간 무상 지원해 드리고 있습니다!

우수하고 참신한 사업아이템과 도전정신으로 창업을 희망하는 (예비)창업가를 적극 지원하고자 하오니 많은 관심과 지원 바랍니다.

이노워크에서는 20년 이상의 사업 경험이 있는 멘토에게 사업의 방향과 비즈니스 모델에 대한 조언과 자문,

사업경험이 풍부한 멘토의 사업 전략 멘토링 자문을 직접 받을 수 있어서 매우 큰 도움을 받을 수 있습니다.

사업성과 매출이 높은 입주 기업에 대해서는 심사를 거쳐 구글 키워드 광고 3000만원,

서버 및 클라우드 1000만원 내외 등의 입주기업을 대상으로 사업계획서 심사후 사업비용에 대한 현물투자도 진행하고 있습니다.

입주 심사후 우수 기업은 약정 기간에 따라  1개월 ~ 3개월의 사무실의 무상 입주기간을 지원해 드립니다.

G Suite, AWS, MS Azure, Adobe, MS Office 365 등을 센터를 통하여 이용하는 기업의 경우 해당 이용 금액만큼 센터 이용료 감면 지원을 통해

입주비용 부담을 낮춰드립니다.
",2023년 12월 28일,이노워크센터,2023.12.28(목) 15:00 ~ 2024.01.05(금) 15:00 까지,,,,https://synapoffice.com/@9f83S,,"(예비)창업기업 또는 중소기업
투자유치 자금 시장의 어려움으로 공간 비용 절감을 통해 어려움의 극복이 필요한 기업

우수 창업 기업으로 초기 기간 무상 업무 공간 지원이 필요한 기업",
167273,그라운드21[부천IoT혁신센터]스타트업 하이브 신규입주기업 모집,시설ㆍ공간ㆍ보육,전국,"일반인, 일반기업, 1인 창조기업",만 20세 이상 ~ 만 39세 이하,2024-01-04 ~ 2024-01-19 16:00,7년미만,부천산업진흥원,공공기관,창업성장팀,부천산업진흥원 공고 2024-1호,"부천시 새로운 미래산업 육성을 위해 조성한 그라운드21[부천IoT혁신센터]의 입주기업을 다음과 같이 모집하오니 우수한 역량을
보유한 창업자 및 기업의 많은 참여 바랍니다.",2024년 1월 4일,부천산업진흥원,2024.01.04(목) 09:00 ~ 2024.01.19(금) 16:00 까지,"경기도 부천시 조마루로 385번길 122, 삼보테크노타워 21층 운영지원실","경기도 부천시 조마루로 385번길 122, 삼보테크노타워 21층 운영지원실",,,,접수일 기준 창업 년 이내 창업기업 ,"- 입주신청의 기본목적이나 신청자격에 부합하지 않는 경우
- 입주신청의 범위가 정확하지 않거나 지나치게 넓은 경우
- 접수기간 내 계획서 및 관련서류 미제출 제출양식 미준수인 경우
- 입주신청서 및 제출서류가 허위이거나 거짓인 경우
- 접수일 기준 정부 부처 및 지자체 기관 사업에 참여 제한중인 경우
- 접수일 기준 정부 부처 및 지자체 공공기관 기업 등에서 시행 하는 창업 공간지원 사업에 선정되어 잔여 지원(계약) 기간이 6개월 이상인 경우
-폐수 소음 진동 등 공해 및 위험 발생업종 영위기업(자)
- 기업이 부도 휴 폐업 상태이거나 법정관리 등 기업회생절차 진행 중인 경우 , ·
- 국세 지방세 체납 또는 금융기관 등의 채무불이행이 확인된 경우
- 신용거래불량 등 정상적으로 금융거래가 어려운 경우"
167275,TipTop 기술혁신 창업기업 모집 공고,사업화,전국,전체,전체,2024-02-13 ~ 2024-02-16 17:00,"예비창업자, 1년미만, 2년미만, 3년미만, 5년미만, 7년미만",구미전자정보기술원,공공기관,일자리창업지원센터,구미전자정보기술원 공고 2024-2호,미래가치가 높은 기술혁신 창업기업을 글로벌 유니콘 기업으로 성장시키기 위한「구미형 TipTop 스타트업 육성사업」에 참여할 창업기업을 다음과 같이 모집합니다.,2024년 1월 2일,구미전자정보기술원,2024.02.13(화) 09:00 ~ 2024.02.16(금) 17:00 까지,,,,http://www.geri.re.kr/html/board_content.asp?board_id=business&amp;board_idx=3089,,"* 사업장 주소 : 구미소재 기업 및 구미(본사)로 이전 계획 기업
    - 타 지역 창업기업의 경우 선정 후 60일 이내 구미 본사 이전 必
     - 소속 근로자(대표자 포함) 중 70% 이상 구미 전입 必
* 창업업력 : 창업 7년 미만 (예비창업자 가능) ",
167278,"[1월/대전] 1월 대전 워크넥트 참가자 모집 (스타트업, 투자자, 기관 등)",행사ㆍ네트워크,전국,전체,전체,2024-01-04 ~ 2024-01-21 23:59,전체,재단법인 은행권청년창업재단,민간,사업팀,,"1월 대전 워크넥트 참가자 모집을 다음과 같이 공고하오니 참여를 희망하는 (예비)창업팀, 투자자, 기관 관계자 등은 안내 따라 신청하기 바랍니다.",2024년 1월 4일,재단법인 은행권청년창업재단,2024.01.04(목) 12:00 ~ 2024.01.21(일) 23:59 까지,,,,https://dcamp.kr/event/76088,,"- 예비 창업자·스타트업·투자자·창업지원기관 관계자와 하루동안 함께 근무하며 네트워킹하고자 하는 스타트업 생태계 구성원
- (우대) 근 시일 내 투자유치를 계획하고 있는 예비창업자 및 스타트업",
167285,2024 서귀포시 STARTUPBAY GLOBAL 입주기업 2기 모집,시설ㆍ공간ㆍ보육,제주특별자치도,"청소년, 대학생, 일반인, 대학, 일반기업, 1인 창조기업",전체,2024-01-04 ~ 2024-01-27 23:59,"예비창업자, 1년미만, 2년미만, 3년미만",넥스트챌린지,민간,액셀러레이팅 본부,공고 제1호,서귀포시 스타트업베이에서는 제주 지역에 특화된 인큐베이팅 및 액셀러레이팅을 통해 우수한 스타트업을 발굴하고 육성하기 위해 ‘2024년 스타트업베이 글로벌 입주기업 2기 모집’을 공고하오니 많은 참여 바랍니다.,2024년 1월 4일,서귀포시 스타트업베이 센터장,2024.01.04(목) 13:00 ~ 2024.01.27(토) 23:59 까지,,,,https://startupbay.or.kr/acc/?idx=17452296&amp;bmode=view,,"글로벌 진출을 희망하는 청년(예비)창업자

※ 기술·네트워크·전문성을 보유한 창업가는 나이제한 없이 지원가능

※ 39세 이하 청년, 서귀포시 거주자, 창업인력내 외국인 포함시 우대",
